n_feats,metric,min,lower,mean,upper,max,class,fs
1,mcc,-0.049,0.303,0.343,0.38,0.627,SVM,KBest
2,mcc,0.088,0.353,0.387,0.418,0.639,SVM,KBest
3,mcc,0.208,0.376,0.403,0.431,0.606,SVM,KBest
4,mcc,0.143,0.381,0.414,0.445,0.657,SVM,KBest
5,mcc,0.176,0.374,0.401,0.428,0.594,SVM,KBest
6,mcc,0.176,0.359,0.388,0.415,0.597,SVM,KBest
7,mcc,0.2,0.363,0.392,0.419,0.569,SVM,KBest
8,mcc,0.176,0.356,0.385,0.414,0.581,SVM,KBest
9,mcc,0.176,0.357,0.385,0.414,0.581,SVM,KBest
10,mcc,0.127,0.354,0.384,0.411,0.579,SVM,KBest
11,mcc,0.153,0.348,0.375,0.406,0.614,SVM,KBest
1,acc,0.574,0.706,0.722,0.739,0.833,SVM,KBest
2,acc,0.61,0.703,0.717,0.73,0.831,SVM,KBest
3,acc,0.607,0.71,0.724,0.737,0.833,SVM,KBest
4,acc,0.593,0.711,0.727,0.742,0.831,SVM,KBest
5,acc,0.617,0.707,0.721,0.735,0.814,SVM,KBest
6,acc,0.593,0.699,0.714,0.727,0.817,SVM,KBest
7,acc,0.61,0.701,0.715,0.727,0.8,SVM,KBest
8,acc,0.61,0.696,0.71,0.725,0.814,SVM,KBest
9,acc,0.6,0.695,0.709,0.724,0.814,SVM,KBest
10,acc,0.6,0.693,0.709,0.723,0.814,SVM,KBest
11,acc,0.623,0.691,0.706,0.722,0.817,SVM,KBest
1,f1,0.235,0.495,0.526,0.555,0.75,SVM,KBest
2,f1,0.343,0.569,0.592,0.613,0.762,SVM,KBest
3,f1,0.444,0.584,0.605,0.624,0.722,SVM,KBest
4,f1,0.421,0.59,0.613,0.633,0.773,SVM,KBest
5,f1,0.444,0.587,0.606,0.623,0.732,SVM,KBest
6,f1,0.444,0.577,0.597,0.615,0.732,SVM,KBest
7,f1,0.457,0.581,0.6,0.619,0.714,SVM,KBest
8,f1,0.444,0.579,0.597,0.614,0.727,SVM,KBest
9,f1,0.438,0.577,0.598,0.617,0.727,SVM,KBest
10,f1,0.429,0.578,0.597,0.615,0.718,SVM,KBest
11,f1,0.421,0.571,0.59,0.61,0.744,SVM,KBest
1,tpr,0.2,0.454,0.492,0.532,0.789,SVM,KBest
2,tpr,0.3,0.614,0.649,0.683,0.947,SVM,KBest
3,tpr,0.4,0.632,0.664,0.691,0.842,SVM,KBest
4,tpr,0.421,0.642,0.676,0.702,0.895,SVM,KBest
5,tpr,0.421,0.642,0.67,0.696,0.85,SVM,KBest
6,tpr,0.421,0.633,0.662,0.691,0.85,SVM,KBest
7,tpr,0.421,0.639,0.672,0.701,0.85,SVM,KBest
8,tpr,0.421,0.637,0.67,0.696,0.842,SVM,KBest
9,tpr,0.368,0.641,0.678,0.708,0.842,SVM,KBest
10,tpr,0.474,0.643,0.672,0.699,0.842,SVM,KBest
11,tpr,0.421,0.631,0.662,0.69,0.842,SVM,KBest
1,tnr,0.61,0.807,0.831,0.85,0.951,SVM,KBest
2,tnr,0.575,0.729,0.749,0.769,0.878,SVM,KBest
3,tnr,0.512,0.73,0.752,0.771,0.902,SVM,KBest
4,tnr,0.537,0.73,0.751,0.772,0.9,SVM,KBest
5,tnr,0.585,0.723,0.745,0.764,0.878,SVM,KBest
6,tnr,0.525,0.714,0.738,0.759,0.902,SVM,KBest
7,tnr,0.55,0.714,0.735,0.756,0.9,SVM,KBest
8,tnr,0.55,0.707,0.73,0.751,0.925,SVM,KBest
9,tnr,0.55,0.701,0.723,0.743,0.854,SVM,KBest
10,tnr,0.537,0.703,0.727,0.749,0.878,SVM,KBest
11,tnr,0.537,0.703,0.727,0.748,0.878,SVM,KBest
1,auc,0.574,0.711,0.729,0.749,0.876,SVM,KBest
2,auc,0.601,0.711,0.729,0.747,0.861,SVM,KBest
3,auc,0.663,0.746,0.759,0.773,0.857,SVM,KBest
4,auc,0.677,0.758,0.77,0.784,0.882,SVM,KBest
5,auc,0.675,0.751,0.765,0.779,0.884,SVM,KBest
6,auc,0.66,0.747,0.76,0.774,0.884,SVM,KBest
7,auc,0.664,0.743,0.755,0.77,0.886,SVM,KBest
8,auc,0.673,0.746,0.757,0.771,0.884,SVM,KBest
9,auc,0.672,0.743,0.755,0.771,0.899,SVM,KBest
10,auc,0.651,0.737,0.751,0.766,0.893,SVM,KBest
11,auc,0.676,0.741,0.754,0.769,0.892,SVM,KBest
1,auprc,0.358,0.546,0.575,0.602,0.829,SVM,KBest
2,auprc,0.393,0.56,0.588,0.617,0.799,SVM,KBest
3,auprc,0.427,0.589,0.614,0.638,0.766,SVM,KBest
4,auprc,0.432,0.605,0.63,0.653,0.794,SVM,KBest
5,auprc,0.434,0.596,0.619,0.64,0.803,SVM,KBest
6,auprc,0.445,0.589,0.613,0.639,0.806,SVM,KBest
7,auprc,0.412,0.58,0.605,0.629,0.806,SVM,KBest
8,auprc,0.446,0.587,0.609,0.632,0.816,SVM,KBest
9,auprc,0.444,0.582,0.607,0.631,0.82,SVM,KBest
10,auprc,0.438,0.576,0.6,0.624,0.805,SVM,KBest
11,auprc,0.445,0.582,0.605,0.629,0.834,SVM,KBest
1,mcc,-0.057,0.151,0.18,0.212,0.437,SVM,model
2,mcc,-0.046,0.199,0.24,0.277,0.507,SVM,model
3,mcc,-0.034,0.213,0.245,0.278,0.532,SVM,model
4,mcc,-0.03,0.207,0.238,0.269,0.532,SVM,model
5,mcc,-0.013,0.213,0.244,0.275,0.532,SVM,model
6,mcc,-0.013,0.203,0.235,0.267,0.507,SVM,model
7,mcc,-0.036,0.221,0.253,0.283,0.49,SVM,model
8,mcc,-0.036,0.217,0.249,0.276,0.444,SVM,model
9,mcc,-0.1,0.197,0.228,0.256,0.397,SVM,model
10,mcc,0.055,0.259,0.29,0.324,0.537,SVM,model
11,mcc,0.176,0.349,0.379,0.41,0.612,SVM,model
1,acc,0.459,0.576,0.592,0.607,0.729,SVM,model
2,acc,0.458,0.593,0.617,0.638,0.746,SVM,model
3,acc,0.459,0.602,0.621,0.641,0.763,SVM,model
4,acc,0.492,0.605,0.621,0.64,0.763,SVM,model
5,acc,0.5,0.61,0.625,0.642,0.763,SVM,model
6,acc,0.492,0.606,0.622,0.639,0.746,SVM,model
7,acc,0.483,0.617,0.633,0.649,0.763,SVM,model
