n_feats,stability,class,fs
1,0,SVM,KBest
2,0.143,SVM,KBest
3,0.159,SVM,KBest
4,0.125,SVM,KBest
5,0.151,SVM,KBest
6,0.182,SVM,KBest
7,0.216,SVM,KBest
8,0.243,SVM,KBest
9,0.267,SVM,KBest
10,0.283,SVM,KBest
11,0.283,SVM,KBest
1,0,SVM,model
2,0.178,SVM,model
3,0.236,SVM,model
4,0.254,SVM,model
5,0.265,SVM,model
6,0.255,SVM,model
7,0.262,SVM,model
8,0.269,SVM,model
9,0.258,SVM,model
10,0.257,SVM,model
11,0.257,SVM,model
1,0,XGB,KBest
2,0.143,XGB,KBest
3,0.159,XGB,KBest
4,0.125,XGB,KBest
5,0.151,XGB,KBest
6,0.182,XGB,KBest
7,0.216,XGB,KBest
8,0.243,XGB,KBest
9,0.267,XGB,KBest
10,0.283,XGB,KBest
11,0.283,XGB,KBest
1,0.687,XGB,model
2,0.575,XGB,model
3,0.52,XGB,model
4,0.479,XGB,model
5,0.44,XGB,model
6,0.389,XGB,model
7,0.387,XGB,model
8,0.398,XGB,model
9,0.412,XGB,model
10,0.423,XGB,model
11,0.423,XGB,model
1,0,RFC,KBest
2,0.143,RFC,KBest
3,0.159,RFC,KBest
4,0.125,RFC,KBest
5,0.151,RFC,KBest
6,0.182,RFC,KBest
7,0.216,RFC,KBest
8,0.243,RFC,KBest
9,0.267,RFC,KBest
10,0.283,RFC,KBest
11,0.283,RFC,KBest
1,0.394,RFC,model
2,0.234,RFC,model
3,0.218,RFC,model
4,0.233,RFC,model
5,0.231,RFC,model
6,0.204,RFC,model
7,0.217,RFC,model
8,0.242,RFC,model
9,0.265,RFC,model
10,0.279,RFC,model
11,0.279,RFC,model
